I_MagicNumber;I_ATRPeriod;I_AtRisk;I_StoplossMethod;I_ReversionPercent;I_StoplossATRMultiplier;I_TypicalSpread;I_MaxLotSize;I_RiskRewardRatio;I_LimitStopOrderExpiryMins;I_HiddenStoplossOffset;I_TradingStartHour;I_TradingEndHour;I_LogResultsInFile;Total P&L;Total No Trades;BucketNoTrades_1;BucketProfit_1;Bucket_LastTradeBreach_1;BucketEndDate_1;BucketNoTrades_2;BucketProfit_2;Bucket_LastTradeBreach_2;BucketEndDate_2;BucketNoTrades_3;BucketProfit_3;Bucket_LastTradeBreach_3;BucketEndDate_3;BucketNoTrades_4;BucketProfit_4;Bucket_LastTradeBreach_4;BucketEndDate_4;BucketNoTrades_5;BucketProfit_5;Bucket_LastTradeBreach_5;BucketEndDate_5;BucketNoTrades_6;BucketProfit_6;Bucket_LastTradeBreach_6;BucketEndDate_6;BucketNoTrades_7;BucketProfit_7;Bucket_LastTradeBreach_7;BucketEndDate_7;BucketNoTrades_8;BucketProfit_8;Bucket_LastTradeBreach_8;BucketEndDate_8;BucketNoTrades_9;BucketProfit_9;Bucket_LastTradeBreach_9;BucketEndDate_9;BucketNoTrades_10;BucketProfit_10;Bucket_LastTradeBreach_10;BucketEndDate_10;BucketNoTrades_11;BucketProfit_11;Bucket_LastTradeBreach_11;BucketEndDate_11;BucketNoTrades_12;BucketProfit_12;Bucket_LastTradeBreach_12;BucketEndDate_12;BucketNoTrades_13;BucketProfit_13;Bucket_LastTradeBreach_13;BucketEndDate_13;BucketNoTrades_14;BucketProfit_14;Bucket_LastTradeBreach_14;BucketEndDate_14;BucketNoTrades_15;BucketProfit_15;Bucket_LastTradeBreach_15;BucketEndDate_15;BucketNoTrades_16;BucketProfit_16;Bucket_LastTradeBreach_16;BucketEndDate_16;BucketNoTrades_17;BucketProfit_17;Bucket_LastTradeBreach_17;BucketEndDate_17;BucketNoTrades_18;BucketProfit_18;Bucket_LastTradeBreach_18;BucketEndDate_18;
20200505;5;20.0000;ATRMultiplier;-80;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-406.2804;486;19;-47.7772;False;2003.01.01;25;33.6430;False;2004.01.01;23;-83.0156;False;2004.12.31;19;114.7732;False;2005.12.31;12;18.9901;False;2006.12.31;19;-28.0438;False;2007.12.31;10;-34.4456;False;2008.12.30;31;-149.1631;False;2009.12.30;33;83.9045;False;2010.12.30;18;1.1496;False;2011.12.30;24;143.8100;False;2012.12.29;41;97.5107;False;2013.12.29;27;-177.8658;False;2014.12.29;46;20.2763;False;2015.12.29;21;-184.2287;False;2016.12.28;36;73.2004;False;2017.12.28;38;-157.0925;False;2018.12.28;44;-131.9060;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;-80;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;1028.6672;570;18;100.7328;False;2003.01.01;28;33.5841;False;2004.01.01;19;44.5186;False;2004.12.31;24;211.7031;False;2005.12.31;17;38.8294;False;2006.12.31;28;-38.9451;False;2007.12.31;13;92.2861;False;2008.12.30;40;4.0467;False;2009.12.30;37;76.2452;False;2010.12.30;26;25.6916;False;2011.12.30;37;52.3652;False;2012.12.29;49;411.3724;False;2013.12.29;35;-92.6610;False;2014.12.29;44;-83.2069;False;2015.12.29;29;-76.5848;False;2016.12.28;37;222.9940;False;2017.12.28;39;51.7193;False;2018.12.28;50;-46.0235;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-70;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;662.4102;446;15;4.7488;False;2003.01.01;26;2.2885;False;2004.01.01;14;42.8939;False;2004.12.31;19;128.4880;False;2005.12.31;19;10.0146;False;2006.12.31;26;-33.1995;False;2007.12.31;10;-79.8355;False;2008.12.30;28;-43.6905;False;2009.12.30;19;55.1154;False;2010.12.30;20;122.0398;False;2011.12.30;28;89.3185;False;2012.12.29;33;202.5639;False;2013.12.29;20;71.6740;False;2014.12.29;31;9.9100;False;2015.12.29;23;-114.6612;False;2016.12.28;34;380.1171;False;2017.12.28;32;128.4661;False;2018.12.28;49;-313.8419;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;-70;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-91.4714;543;20;-40.3272;False;2003.01.01;32;39.3324;False;2004.01.01;25;-73.1485;False;2004.12.31;24;56.3903;False;2005.12.31;16;7.8418;False;2006.12.31;23;-32.2005;False;2007.12.31;10;-63.3671;False;2008.12.30;36;-60.6756;False;2009.12.30;35;93.9276;False;2010.12.30;20;0.0696;False;2011.12.30;27;182.0906;False;2012.12.29;43;235.3304;False;2013.12.29;28;-155.1406;False;2014.12.29;50;91.1112;False;2015.12.29;25;-232.0804;False;2016.12.28;39;117.0062;False;2017.12.28;42;-178.4795;False;2018.12.28;48;-79.1522;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;-70;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;1297.8528;636;19;107.7528;False;2003.01.01;36;-49.2727;False;2004.01.01;25;-10.1883;False;2004.12.31;29;312.8400;False;2005.12.31;22;3.8596;False;2006.12.31;31;-64.8025;False;2007.12.31;13;54.4146;False;2008.12.30;47;214.5017;False;2009.12.30;38;142.4806;False;2010.12.30;28;119.5917;False;2011.12.30;39;104.1474;False;2012.12.29;50;375.1788;False;2013.12.29;39;-44.0506;False;2014.12.29;48;-160.2498;False;2015.12.29;33;-97.1324;False;2016.12.28;39;329.4114;False;2017.12.28;44;-0.5633;False;2018.12.28;56;-40.0662;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-60;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;332.2630;513;17;-28.3655;False;2003.01.01;29;3.4723;False;2004.01.01;18;38.1813;False;2004.12.31;24;49.3407;False;2005.12.31;23;7.8712;False;2006.12.31;27;4.0791;False;2007.12.31;11;-89.1835;False;2008.12.30;32;12.6585;False;2009.12.30;24;-15.8883;False;2010.12.30;24;122.6798;False;2011.12.30;31;21.5021;False;2012.12.29;35;176.2587;False;2013.12.29;26;42.2393;False;2014.12.29;36;-27.3753;False;2015.12.29;25;-137.5812;False;2016.12.28;38;366.1218;False;2017.12.28;37;61.8166;False;2018.12.28;56;-275.5645;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;-60;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-244.0675;616;23;-54.4106;False;2003.01.01;37;71.5431;False;2004.01.01;30;-49.8983;False;2004.12.31;26;39.6108;False;2005.12.31;23;-10.9712;False;2006.12.31;23;-18.9742;False;2007.12.31;11;-38.0757;False;2008.12.30;43;-5.1127;False;2009.12.30;38;50.0919;False;2010.12.30;26;-46.3599;False;2011.12.30;33;60.5437;False;2012.12.29;45;186.9046;False;2013.12.29;34;-197.8257;False;2014.12.29;51;47.3535;False;2015.12.29;26;-246.2304;False;2016.12.28;46;111.2744;False;2017.12.28;46;-158.2863;False;2018.12.28;55;14.7556;False;2019.12.28;
20200505;6;20.0000;ATRMultiplier;-60;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;1148.7538;709;22;131.1324;False;2003.01.01;41;-23.5940;False;2004.01.01;29;-4.4947;False;2004.12.31;31;293.8600;False;2005.12.31;25;7.6640;False;2006.12.31;32;-31.7413;False;2007.12.31;14;42.5261;False;2008.12.30;48;274.9667;False;2009.12.30;43;78.8190;False;2010.12.30;35;130.6973;False;2011.12.30;41;76.2439;False;2012.12.29;54;382.6529;False;2013.12.29;45;-144.8523;False;2014.12.29;52;-133.7361;False;2015.12.29;36;-142.9224;False;2016.12.28;44;269.1447;False;2017.12.28;55;-71.0079;False;2018.12.28;62;13.3956;False;2019.12.28;
20200505;4;20.0000;ATRMultiplier;-50;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-268.2598;567;19;-46.0218;False;2003.01.01;33;-42.8576;False;2004.01.01;26;-21.0239;False;2004.12.31;26;16.3418;False;2005.12.31;26;-40.6551;False;2006.12.31;27;15.4657;False;2007.12.31;11;-87.2678;False;2008.12.30;34;-10.2687;False;2009.12.30;28;-23.4188;False;2010.12.30;27;96.5244;False;2011.12.30;34;-64.0949;False;2012.12.29;41;30.4862;False;2013.12.29;27;52.3493;False;2014.12.29;39;-56.1053;False;2015.12.29;30;-117.1699;False;2016.12.28;42;337.4484;False;2017.12.28;39;-18.0082;False;2018.12.28;58;-289.9836;False;2019.12.28;
20200505;5;20.0000;ATRMultiplier;-50;4.0000;0.000300;5.000000;2.000000;120;0.000000;8;19;1;-254.7541;666;23;-51.1473;False;2003.01.01;37;93.5850;False;2004.01.01;32;-31.6091;False;2004.12.31;31;63.1970;False;2005.12.31;26;-14.9149;False;2006.12.31;25;-10.5490;False;2007.12.31;13;45.0033;False;2008.12.30;45;-30.7541;False;2009.12.30;40;81.5962;False;2010.12.30;30;-43.9532;False;2011.12.30;36;15.5227;False;2012.12.29;50;125.5200;False;2013.12.29;37;-188.0275;False;2014.12.29;54;32.5582;False;2015.12.29;30;-249.0485;False;2016.12.28;48;84.5502;False;2017.12.28;51;-241.8792;False;2018.12.28;58;65.5961;False;2019.12.28;
